sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	handling-time	fulfillment-channel
UT13012-1-FBM	22.62					
UT13012-1-V1-FBM	22.62					
UT13014-1-FBM	22.62					
UT13013-1-FBM	22.62					
UT39785-1-FBM	6.37					
UT28587-1-FBM	11.65					
UT39792-1-FBM	6.96					
UT91290-1-FBM	9.49					
UT91125-1-FBM	11.71					
UT91064-1-FBM	11.71					
UT91133-1-FBM	9.57					
UT91124-1-FBM	14.64					
UT91141-2-FBM	21.29					
UT39768-1-FBM	6.96					
UT27910-1-FBM	16.5					
UT39793-1-FBM	6.08					
UT39773-1-FBM	5.84					
UT91063-1-FBM	10.65					
UT91095-1-FBM	9.3					
UT39894-1-FBM	6.37					
UT28586-1-FBM	10.65					
UT14717-1-FBM	14.04					
UT91114-1-FBM	8.26					
UT91114-2-FBM	16.1					
UT91114-3-FBM	19.49					
UT91114-6-FBM	30.99					
UT91109-1-FBM	12.71					
UT91109-1-V1-FBM	12.71					
UT91140-2-FBM	21.29					
UT81297-1-FBM	18.48					
UT91110-1-FBM	12.71					
UT91110-2-FBM	16.1					
UT91110-3-FBM	20.82					
UT91110-6-FBM	32.32					
UT91110-1-V1-FBM	12.71					
UT27908-1-FBM	10.98					
UT91287-1-FBM	8.26					
UT91293-1-FBM	9.24					
UT91293-3-FBM	20.82					
UT91293-6-FBM	30.99					
UT91293-2-FBM	16.1					
UT91288-1-FBM	8.02					
UT91289-1-FBM	8.02					
UT91289-2-FBM	13.18					
UT91289-3-FBM	19.49					
UT91289-6-FBM	30.99					
UT91289-12-FBM	51.33					
UT28588-1-FBM	10.85					
UT91128-1-FBM	11.71					
UT91127-1-FBM	11.71					
UT91131-1-FBM	9.31					
UT91292-2-FBM	16.1					
UT91292-1-FBM	9.24					
UT91292-3-FBM	20.82					
UT91292-6-FBM	30.99					
UT88520-1-FBM	14.63					
UT88520-12-FBM	79.62					
UT91129-1-FBM	11.71					
UT91221-1-FBM	7.83					
UT28584-1-FBM	7.07					
UT39810-1-FBM	8.43					
UT39810-2-FBM	13.97					
UT91096-1-FBM	8.61					
UT91267-2-FBM	19.93					
UT27913-1-FBM	14.93					
UT91284-1-FBM	9.17					
UT91284-3-FBM	22.44					
UT91284-2-FBM	18.07					
UT91284-5-FBM	32.52					
UT91092-1-FBM	9.02					
UT91280-1-FBM	10.77					
UT91211-1-FBM	7.83					
UT91282-1-FBM	10.77					
UT91282-2-FBM	18.07					
UT91106-1-FBM	9.46					
UT91106-2-FBM	19.13					
UT91106-2-V1-FBM	19.13					
UT91065-1-FBM	9.72					
UT91066-1-FBM	8.96					
UT40193-1-FBM	6.08					
UT91212-1-FBM	13.69					
UT91212-2-FBM	18.07					
UT91212-3-FBM	23.77					
UT91212-6-FBM	38.22					
UT91067-1-FBM	11.32					
UT40447-1-FBM	7.83					
UT91307-1-FBM	14.24					
UT91307-1-V1-FBM	14.24					
UT91307-2-FBM	19.16					
UT91307-3-FBM	25.41					
UT91307-6-FBM	41.49					
UT91307-4-FBM	30.33					
UT91307-5-FBM	35.24					
UT91307-7-FBM	46.41					
UT91307-9-FBM	56.25					
UT91283-1-FBM	10.77					
UT91283-1-V1-FBM	10.77					
UT91283-1-V2-FBM	10.77					
UT91283-9-FBM	51.34					
UT91216-1-FBM	14.9					
UT91214-1-FBM	7.2					
UT91214-2-FBM	10.78					
UT91214-6-FBM	26.87					
UT91214-1-V1-FBM	7.2					
UT40351-1-FBM	7.83					
UT40421-1-FBM	13.51					
UT38424-1-FBM	8.38					
UT38424-1-V1-FBM	8.38					
UT38424-6-FBM	31.79					
UT38424-2-FBM	16.37					
UT91303-1-FBM	11.32					
UT91303-1-V1-FBM	11.32					
UT91303-1-V2-FBM	11.32					
UT91303-1-V3-FBM	11.32					
UT91074-1-FBM	12.75					
UT28696-1-FBM	6.08					
UT53902-1-FBM	11.85					
UT91077-1-FBM	12.75					
UT91305-1-FBM	11.32					
UT91305-3-FBM	25.41					
UT91305-6-FBM	40.16					
UT91305-2-FBM	19.16					
UT38260-1-FBM	7.67					
UT53901-1-FBM	11.85					
UT53903-1-FBM	11.85					
UT38393-1-FBM	8.57					
UT28700-1-FBM	6.08					
UT28700-3-FBM	10.76					
UT41413-1-FBM	9.22					
UT38392-1-FBM	9.06					
UT38392-1-V1-FBM	9.06					
UT38392-1-V2-FBM	9.06					
UT91075-1-FBM	11.69					
UT38391-1-FBM	8.57					
UT38391-2-FBM	14.64					
UT53904-1-FBM	11.85					
UT53905-1-FBM	13.71					
UT91310-1-FBM	12.45					
UT40610-1-FBM	19.82					
UT21975-1-FBM	26.84					
UT90511-1-FBM	9.4					
UT90511-1-V1-FBM	9.4					
UT90511-3-FBM	24.68					
UT21909-1-FBM	20.55					
UT75841-1-FBM	13.95					
UT75843-1-FBM	13.95					
UT75804-1-FBM	19.96					
UT75830-1-FBM	16.37					
UT75840-1-FBM	13.95					
UT75827-1-FBM	16.43					
UT41412-1-FBM	11.42					
UT41412-2-FBM	21.02					
UT41412-3-FBM	26.87					
UT41412-4-FBM	34.05					
UT41412-5-FBM	39.9					
UT41412-6-FBM	45.75					
UT41412-8-FBM	57.45					
UT41412-9-FBM	63.3					
UT53906-1-FBM	13.71					
UT75817-1-FBM	19.96					
UT75807-1-FBM	19.96					
UT75808-1-FBM	19.96					
UT28701-1-FBM	6.49					
UT28697-1-FBM	7.67					
UT28697-2-FBM	11.45					
UT75809-1-FBM	19.96					
UT75816-1-FBM	16.41					
UT91070-1-FBM	10.89					
UT38423-1-FBM	7.84					
UT38423-1-V1-FBM	7.84					
UT38423-3-FBM	18.89					
UT38423-2-FBM	12.15					
UT38423-1-V2-FBM	7.84					
UT38423-6-FBM	28.46					
UT38456-3-FBM	19.25					
UT38456-1-FBM	7.95					
UT38422-1-FBM	7.84					
UT38422-6-FBM	28.46					
UT38422-3-FBM	18.89					
UT38422-4-FBM	22.08					
UT38422-5-FBM	25.27					
UT38422-7-FBM	32.98					
UT38422-9-FBM	39.37					
UT39780-1-FBM	7.49					
UT40611-1-FBM	19.82					
UT38390-1-FBM	8.87					
UT38390-2-FBM	15.3					
UT41411-1-FBM	9.72					
UT38261-1-FBM	7.67					
UT38433-6-FBM	28.46					
UT38433-1-FBM	7.84					
UT38433-3-FBM	18.89					
UT38433-2-FBM	12.15					
UT38433-1-V1-FBM	7.84					
UT38436-1-FBM	7.78					
UT38436-1-V1-FBM	7.78					
UT38436-3-FBM	18.69					
UT38436-1-V2-FBM	7.78					
UT38436-5-FBM	24.94					
UT38436-6-FBM	28.07					
UT38436-2-FBM	12.02					
UT48121-1-FBM	12.05					
UT48122-1-FBM	9.72					
