sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	handling-time	fulfillment-channel
WP10000096-12-FBM	170.34					
WP10000096-1-FBM	17.84					
WP10000096-2-FBM	31.62					
WP10000096-2-V1-FBM	31.62					
WP10000096-4-FBM	59.63					
WP10000096-4-V1-FBM	59.63					
WP10000128-12-FBM	127.74					
WP10000128-1-FBM	14.76					
WP10000128-1-V1-FBM	14.76					
WP10000128-1-V2-FBM	14.76					
WP10000128-3-FBM	38.59					
WP10000128-6-FBM	67.87					
WP10000148-1-FBM	27.96					
WP10000148-2-FBM	46.6					
WP10000148-2-V1-FBM	46.6					
WP10000148-3-FBM	66.57					
WP10000148-4-FBM	85.2					
WP10000148-5-FBM	103.84					
WP10000148-6-FBM	123.81					
WP10000200-1-FBM	21.09					
WP10000200-2-FBM	38.44					
WP10000200-3-FBM	56.05					
WP10000262-1-FBM	7.75					
WP10000294-1-FBM	11.22					
WP10000294-24-FBM	171.14					
WP10000294-2-FBM	17.91					
WP10000294-3-FBM	25.06					
WP10000294-6-FBM	46.52					
WP10000294-6-V1-FBM	46.52					
WP10000294-1-V1-FBM	11.22					
WP10000377-1-FBM	9.46					
WP10000377-2-FBM	15.73					
WP10000377-3-FBM	21.79					
WP10000377-5-FBM	33.56					
WP10000377-6-FBM	39.98					
WP10000398-10-FBM	177.76					
WP10000398-12-FBM	211.18					
WP10000398-1-FBM	21.25					
WP10000398-1-V1-FBM	21.25					
WP10000398-1-V2-FBM	21.25					
WP10000398-3-FBM	56.53					
WP10000398-4-FBM	76.16					
WP10000398-5-FBM	92.87					
WP10000398-6-FBM	109.59					
WP10000524-1-FBM	22.22					
WP10000524-1-V1-FBM	22.22					
WP10000527-1-FBM	20.63					
WP10000527-1-V2-FBM	20.63					
WP10000527-1-V4-FBM	20.63					
WP10000527-3-FBM	53.3					
WP10000564-1-FBM	11.46					
WP10000564-2-FBM	18.85					
WP10000564-3-FBM	26.35					
WP10000564-3-V1-FBM	26.35					
