BU_CODE,LE,CH_CODE,LC_CODE,DEPT,BR_CODE,PL_CODE,CUSTOMER,SKU,INVORG,ACCOUNT,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL362,CG_STAPLES,S1927341,IO666,GrossUnits,,,,"6,500","3,500","1,200","1,000",,,,796,527
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL362,CG_STAPLES,S1927342,IO666,GrossUnits,,,,"1,500",750,,,,,,300,337
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL362,CG_STAPLES,S2282201,IO666,GrossUnits,,,,"6,500","2,000","1,000","1,500","2,000",,,,"1,164"
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL363,CG_STAPLES,S2157322,IO666,GrossUnits,,,,"1,000",,,,,,,300,331
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL370,CG_STAPLES,S1846375,IO666,GrossUnits,,,,"1,000","2,500","4,500","6,500","4,000","1,000",500,"1,500",500
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL370,CG_STAPLES,S1846377,IO666,GrossUnits,,,,"2,300","6,000","7,500","9,000","6,000","3,000",,"2,000","1,000"
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL371,CG_STAPLES,S2165192,IO666,GrossUnits,,,,"2,000","3,000","5,000","9,000","6,000","4,000","2,000","2,000","1,000"
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL331,CG_STAPLES,S2202171,IO666,GrossUnits,,,,62,86,132,91,103,228,76,194,216
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL331,CG_STAPLES,S2202156,IO666,GrossUnits,,,,55,56,94,64,64,60,20,48,50
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL330,CG_STAPLES,S1398325,IO666,GrossUnits,,,,12,12,24,12,12,12,12,12,12
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL330,CG_STAPLES,S1905547,IO666,GrossUnits,,,,,,,252,252,12,12,12,12
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL330,CG_STAPLES,S2202211,IO666,GrossUnits,,,,132,112,236,160,160,112,24,64,66
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL330,CG_STAPLES,S2202228,IO666,GrossUnits,,,,,150,,,,12,12,12,12
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL330,CG_STAPLES,S2202152,IO666,GrossUnits,,,,200,200,296,200,200,176,60,148,100
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL330,CG_STAPLES,S2202146,IO666,GrossUnits,,,,258,274,448,288,288,575,571,568,565
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B628,PL320,CG_STAPLES,S2233176,IO666,GrossUnits,,,,168,120,216,168,144,48,72,192,216
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B640,PL330,CG_STAPLES,S1396182,IO666,GrossUnits,,,,68,76,84,64,76,112,56,96,42
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_TARGET STORES ALL DIV (US),S2282200,IO679,GrossUnits,,,,,"2,520","11,172","6,284","4,720","8,796","14,468","29,012","31,984"
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_TARGET STORES ALL DIV (US),S2282201,IO679,GrossUnits,,,,,"2,536","24,644","19,728","14,812","27,620","16,016","44,464","49,040"
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S1927341,IO666,GrossUnits,,,,144,160,20,24,30,32,40,20,60
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S1927342,IO666,GrossUnits,,,,622,510,500,,,,,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2003275,IO666,GrossUnits,,,,,,"3,000","1,000",800,800,200,200,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2003275,IO679,GrossUnits,,,,,,,,,,"49,598","50,684","25,578"
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2282181,IO666,GrossUnits,,,,"65,484","36,174","88,232","76,947","57,334","49,129","38,722","44,672","20,400"
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2282181,IO679,GrossUnits,,,,,,,,,,"143,492","231,196","139,360"
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2282196,IO679,GrossUnits,,,,,,,,,,"13,172","23,298","16,080"
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2282197,IO679,GrossUnits,,,,,,,,,,"3,000",,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2282199,IO679,GrossUnits,,,,,,,,,,"17,019","30,112","16,080"
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2285144,IO679,GrossUnits,,,,,,,,,,"16,105","28,894","10,720"
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2182156,IO666,GrossUnits,,,,,,"3,000","1,000",800,800,200,200,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2182155,IO666,GrossUnits,,,,,,"3,000","2,000","1,000","1,000",500,500,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL362,CG_WAL-MART STORES ALL DIV (US),S2062565,IO666,GrossUnits,,,,,,"3,000","2,000","1,000","1,000",500,500,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL363,CG_TARGET STORES ALL DIV (US),S1853563,IO679,GrossUnits,,,,,,,,,,"1,911","1,946","2,256"
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL363,CG_TARGET STORES ALL DIV (US),S2157321,IO679,GrossUnits,,,,,"1,264","8,358","5,904","4,434","8,268","7,950","22,038","24,310"
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL363,CG_TARGET STORES ALL DIV (US),S2157322,IO679,GrossUnits,,,,,"1,236","2,406",,,"1,306","8,092","23,044","25,420"
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL363,CG_WAL-MART STORES ALL DIV (US),S2157321,IO666,GrossUnits,,,,62,68,,,,,,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL363,CG_WAL-MART STORES ALL DIV (US),S2277160,IO679,GrossUnits,,,,,,,,,,"46,511","70,950","45,600"
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL363,CG_WAL-MART STORES ALL DIV (US),S1846499,IO666,GrossUnits,,,,"1,200",800,366,,,,,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL363,CG_WAL-MART STORES ALL DIV (US),S1849326,IO666,GrossUnits,,,,"19,500",,"3,980","2,653","1,592","1,114",669,401,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL370,CG_TARGET STORES ALL DIV (US),S1848326,IO679,GrossUnits,,,,,"4,466","9,304","18,862","24,732","31,910",,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL370,CG_TARGET STORES ALL DIV (US),S1833376,IO666,GrossUnits,,,,,,,,,"9,996",,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL370,CG_TARGET STORES ALL DIV (US),S1833376,IO679,GrossUnits,,,,,"4,948","10,318","21,260","27,872","25,974",,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL370,CG_TARGET STORES ALL DIV (US),S1837332,IO679,GrossUnits,,,,,"1,778","3,744","3,460","4,488","5,900",,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL370,CG_TARGET STORES ALL DIV (US),S1848334,IO666,GrossUnits,,,,,,,,,"2,752",,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL370,CG_TARGET STORES ALL DIV (US),S1848334,IO679,GrossUnits,,,,,"2,026","4,100","4,982","6,530","5,672",,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL370,CG_TARGET STORES ALL DIV (US),S2062787,IO679,GrossUnits,,,,,"1,891","3,981","4,289","5,559","7,324",,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL371,CG_TARGET STORES ALL DIV (US),S1837329,IO666,GrossUnits,,,,,,,,,"3,859",,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL371,CG_TARGET STORES ALL DIV (US),S2165193,IO679,GrossUnits,,,,,"18,640","5,492","36,416","60,706","15,747",,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL371,CG_TARGET STORES ALL DIV (US),S2287179,IO679,GrossUnits,,,,,"7,094","1,440","9,560","15,922","7,560",,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL371,CG_TARGET STORES ALL DIV (US),S2123506,IO666,GrossUnits,,,,,,,,,"9,194",,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL371,CG_WAL-MART STORES ALL DIV (US),S2169141,IO666,GrossUnits,,,,,,,,"25,920","25,920",,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL371,CG_WAL-MART STORES ALL DIV (US),S2169141,IO679,GrossUnits,,,,"38,514","81,076","108,858","98,608","35,298","5,018",,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL371,CG_WAL-MART STORES ALL DIV (US),S2169143,IO666,GrossUnits,,,,,,,,"17,280","17,280",,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL371,CG_WAL-MART STORES ALL DIV (US),S2169143,IO679,GrossUnits,,,,"28,670","55,996","67,210","60,200","21,710","3,126",,,
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL331,CG_TARGET STORES ALL DIV (US),S2198138,IO666,GrossUnits,,,,735,782,"1,065",746,968,648,758,762,572
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL331,CG_TARGET STORES ALL DIV (US),S2271315,IO666,GrossUnits,,,,900,427,"1,600","1,000","1,100",583,450,550,655
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL331,CG_TARGET STORES ALL DIV (US),S2271316,IO666,GrossUnits,,,,847,"1,600",900,"1,887","1,800",897,812,835,781
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL331,CG_TARGET STORES ALL DIV (US),S2271319,IO666,GrossUnits,,,,100,800,100,250,250,89,90,76,76
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL331,CG_WAL-MART STORES ALL DIV (US),S2205283,IO666,GrossUnits,,,,70,90,60,80,40,80,90,80,70
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL331,CG_WAL-MART STORES ALL DIV (US),S2202171,IO666,GrossUnits,,,,164,207,210,171,171,134,135,124,256
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL331,CG_WAL-MART STORES ALL DIV (US),S2202159,IO666,GrossUnits,,,,102,,155,80,,86,110,,126
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL331,CG_WAL-MART STORES ALL DIV (US),S2202178,IO666,GrossUnits,,,,24,48,48,36,36,36,36,36,36
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL331,CG_WAL-MART STORES ALL DIV (US),S2202161,IO666,GrossUnits,,,,12,24,24,24,24,24,24,24,24
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL331,CG_WAL-MART STORES ALL DIV (US),S2202181,IO666,GrossUnits,,,,122,150,168,164,176,178,186,161,183
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL331,CG_WAL-MART STORES ALL DIV (US),S2202157,IO666,GrossUnits,,,,20,20,20,24,12,45,30,24,10
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL331,CG_WAL-MART STORES ALL DIV (US),S2202156,IO666,GrossUnits,,,,,20,20,,20,20,20,20,20
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL331,CG_WAL-MART STORES ALL DIV (US),S2202180,IO666,GrossUnits,,,,14,20,24,16,16,16,16,16,16
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL331,CG_WAL-MART STORES ALL DIV (US),S2202203,IO666,GrossUnits,,,,6,10,16,8,19,10,10,16,8
BU5100,NoLegalEntity,Chnl18,L110,MarginDept,B617,PL331,CG_WAL-MART STORES ALL DIV (US),S2271321,IO666,GrossUnits,,,,6,6,8,4,10,10,10,10,10
