BU_CODE,LE,CH_CODE,LC_CODE,DEPT,BR_CODE,PL_CODE,CUSTOMER,SKU,INVORG,ACCOUNT,Sep,Oct,Nov,Dec,Jan,Feb
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL362,CG_STAPLES,S1927341,IO666,GrossUnits,2500,1500,,,,520
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL362,CG_STAPLES,S1927342,IO666,GrossUnits,,,,,,397
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL362,CG_STAPLES,S2011164,IO666,GrossUnits,1500,1249,,,,1369
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL363,CG_STAPLES,S2157322,IO666,GrossUnits,1300,,,,,331
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL370,CG_STAPLES,S1846375,IO666,GrossUnits,5000,,,457,,
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL370,CG_STAPLES,S1846377,IO666,GrossUnits,10000,,,,,
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL371,CG_STAPLES,S1871317,IO666,GrossUnits,2000,,,106,,
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL331,CG_STAPLES,S2202171,IO666,GrossUnits,140,152,228,76,194,216
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL331,CG_STAPLES,S2202156,IO666,GrossUnits,37,40,60,20,48,50
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL330,CG_STAPLES,S1853436,IO666,GrossUnits,32,100,112,24,64,66
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL330,CG_STAPLES,S1398325,IO666,GrossUnits,9,12,12,,12,11
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL330,CG_STAPLES,S1905547,IO666,GrossUnits,24,,24,,21,21
BU5100,NoLegalEntity,Chnl19,L110,MarginDept,B617,PL330,CG_STAPLES,S2202155,IO666,GrossUnits,646,650,948,330,824,333
