BU_CODE,LE,CH_CODE,LC_CODE,DEPT,BR_CODE,PL_CODE,CUSTOMER,SKU,INVORG,ACCOUNT,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL052,CG_UK ALL OTHER,S1948143,IO679,GrossUnits,,3600,,3600,,,,,,,,3600
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL052,CG_UK ALL OTHER,S1948144,IO679,GrossUnits,,3600,,3600,,,,4680,,,,4680
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL052,CG_UK ALL OTHER,S1948145,IO679,GrossUnits,,3600,,3600,,,,,,,,
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL052,CG_UK ALL OTHER,S1948146,IO679,GrossUnits,,3600,,3600,,,,11880,,,,11880
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL052,CG_UK ALL OTHER,S1948147,IO679,GrossUnits,,3600,,3600,,,,11880,,,,11880
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL052,CG_UK ALL OTHER,S2062586,IO679,GrossUnits,,3600,,3600,,,,,,,,
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL052,CG_UK ALL OTHER,S2062587,IO679,GrossUnits,,3600,,3600,,,,,,,,
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL052,CG_UK ALL OTHER,S2062588,IO679,GrossUnits,,3600,,3600,,,,,,,,
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL052,CG_UK ALL OTHER,S2215158,IO679,GrossUnits,,4104,,4104,,,,,,,,
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL052,CG_UK ALL OTHER,S2215159,IO679,GrossUnits,,4104,,4104,,,,,,,,
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL016,CG_UK ALL OTHER,S1939197,IO398,GrossUnits,,,500,,,1000,662,374,581,170,490,50
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL016,CG_BOOTS UK,S1939197,IO398,GrossUnits,576,576,1008,1440,1008,720,720,816,1440,2976,1440,576
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL016,CG_ASDA UK,S1939197,IO398,GrossUnits,0,0,0,0,0,0,0,0,0,0,0,0
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL021,CG_UK ALL OTHER,S2062439,IO679,GrossUnits,,,,,,,3066,,3066,,,
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL021,CG_UK ALL OTHER,S1958568,IO398,GrossUnits,,,,180,498,1794,550,500,400,600,950,400
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL021,CG_UK ALL OTHER,S2095405,IO398,GrossUnits,,,,,,100,150,500,150,500,150,100
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL021,CG_UK ALL OTHER,S2203165,IO398,GrossUnits,,,150,,,150,,1000,1000,1000,,500
BU5300,NoLegalEntity,Chnl10,L230,MarginDept,B120,PL021,CG_UK ALL OTHER,S2150247,IO398,GrossUnits,,,,,,,1500,1500,1500,1500,,750
