 BU_CODE, 	 LE, 	 CH_CODE, 	 LC_CODE, 	 DEPT, 	 BR_CODE, 	 PL_CODE, 	 CUSTOMER, 	 SKU, 	 INVORG, 	 ACCOUNT, 	 Mar, 	 Apr, 	 May, 	 Jun, 	 Jul, 	 Aug, 	 Sep, 	 Oct, 	 Nov, 	 Dec, 	 Jan, 	 Feb 
 BU2070, 	 NoLegalEntity, 	 Chnl17, 	 L410, 	 MarginDept, 	 B120, 	 PL021, 	 NoCustomer, 	 SKUadj, 	 IO679, 	 402000, 	 , 	 , 	 , 	 35776, 	 24960, 	 56576, 	 45760, 	 41600, 	 -12480, 	 49920, 	 83200, 	 -20800 
 BU2070, 	 NoLegalEntity, 	 Chnl17, 	 L410, 	 MarginDept, 	 B120, 	 PL021, 	 NoCustomer, 	 SKUadj, 	 IO679, 	 484000, 	 , 	 , 	 , 	 -894.4, 	 -624, 	 -1414.4, 	 -1144, 	 -1040, 	 312, 	 -1248, 	 -2080, 	 520 
 BU2070, 	 NoLegalEntity, 	 Chnl17, 	 L410, 	 MarginDept, 	 B120, 	 PL021, 	 NoCustomer, 	 SKUadj, 	 IO679, 	 519000, 	 , 	 , 	 , 	 22449.16824, 	 15662.2104, 	 35501.01024, 	 28714.0524, 	 26103.684, 	 5220.7368, 	 31324.4208, 	 52207.368, 	 0.00000000000728 
 BU2070, 	 NoLegalEntity, 	 Chnl17, 	 L410, 	 MarginDept, 	 B120, 	 PL021, 	 NoCustomer, 	 SKUadj, 	 IO679, 	 608000, 	 , 	 , 	 , 	 357.76, 	 249.6, 	 565.76, 	 457.6, 	 416, 	 -124.8, 	 499.2, 	 832, 	 -208 
 BU2070, 	 NoLegalEntity, 	 Chnl17, 	 L410, 	 MarginDept, 	 B920, 	 PL013, 	 NoCustomer, 	 SKUadj, 	 IO679, 	 402000, 	 , 	 , 	 , 	 , 	 -101400, 	 , 	 , 	 , 	 , 	 , 	 -101400, 	  
 BU2070, 	 NoLegalEntity, 	 Chnl17, 	 L410, 	 MarginDept, 	 B920, 	 PL013, 	 NoCustomer, 	 SKUadj, 	 IO679, 	 484000, 	 , 	 , 	 , 	 , 	 2535, 	 , 	 , 	 , 	 , 	 , 	 2535, 	  
 BU2070, 	 NoLegalEntity, 	 Chnl17, 	 L410, 	 MarginDept, 	 B920, 	 PL013, 	 NoCustomer, 	 SKUadj, 	 IO679, 	 519000, 	 , 	 , 	 , 	 , 	 -51232.5, 	 , 	 , 	 , 	 , 	 , 	 -51232.5, 	  
 BU2070, 	 NoLegalEntity, 	 Chnl17, 	 L410, 	 MarginDept, 	 B920, 	 PL013, 	 NoCustomer, 	 SKUadj, 	 IO679, 	 608000, 	 , 	 , 	 , 	 , 	 -1014, 	 , 	 , 	 , 	 , 	 , 	 -1014, 	  
 BU2070, 	 NoLegalEntity, 	 Chnl17, 	 L410, 	 MarginDept, 	 B960, 	 PL011, 	 NoCustomer, 	 SKUadj, 	 IO679, 	 402000, 	 , 	 27874.5, 	 12000, 	 28012.5, 	 12000, 	 6000, 	 37980.5, 	 16000, 	 17000, 	 27994, 	 17000, 	 15793 
 BU2070, 	 NoLegalEntity, 	 Chnl17, 	 L410, 	 MarginDept, 	 B960, 	 PL011, 	 NoCustomer, 	 SKUadj, 	 IO679, 	 475000, 	 , 	 -1840.0305, 	 -1068, 	 -1852.3125, 	 -1068, 	 -534, 	 -2101.5125, 	 -1424, 	 -1513, 	 -1659.85, 	 -1513, 	 -1405.577 
 BU2070, 	 NoLegalEntity, 	 Chnl17, 	 L410, 	 MarginDept, 	 B960, 	 PL011, 	 NoCustomer, 	 SKUadj, 	 IO679, 	 519000, 	 , 	 12326.88, 	 4380, 	 12377.25, 	 4380, 	 2190, 	 18158.69, 	 5840, 	 6205, 	 13011.52, 	 6205, 	 5764.445 
 BU2070, 	 NoLegalEntity, 	 Chnl17, 	 L410, 	 MarginDept, 	 B960, 	 PL011, 	 NoCustomer, 	 SKUadj, 	 IO679, 	 608000, 	 , 	 278.745, 	 120, 	 280.125, 	 120, 	 60, 	 379.805, 	 160, 	 170, 	 279.94, 	 170, 	 157.93 
 BU2070, 	 NoLegalEntity, 	 Chnl17, 	 L410, 	 MarginDept, 	 B960, 	 PL071, 	 NoCustomer, 	 SKUadj, 	 IO679, 	 402000, 	 17862, 	 6000, 	 12000, 	 21997.5, 	 18000, 	 6000, 	 38002.5, 	 16000, 	 7000, 	 30000, 	 17000, 	 25793 
